,x,y,z,t,activity
200,0.39,-0.91,0.1,8667,Standing
201,0.39,-0.92,0.11,8707,Standing
202,0.39,-0.91,0.09,8748,Standing
203,0.39,-0.92,0.1,8790,Standing
204,0.38,-0.91,0.1,8830,Standing
205,0.39,-0.93,0.1,8870,Standing
206,0.39,-0.93,0.11,8911,Standing
207,0.38,-0.91,0.11,8951,Standing
208,0.39,-0.91,0.11,8991,Standing
209,0.4,-0.92,0.1,9032,Standing
210,0.4,-0.92,0.1,9072,Standing
211,0.4,-0.91,0.1,9113,Standing
212,0.4,-0.92,0.09,9153,Standing
213,0.39,-0.91,0.09,9194,Standing
214,0.38,-0.91,0.09,9234,Standing
215,0.39,-0.93,0.09,9275,Standing
216,0.39,-0.93,0.09,9315,Standing
217,0.38,-0.91,0.1,9356,Standing
218,0.39,-0.93,0.09,9397,Standing
219,0.38,-0.91,0.1,9437,Standing
220,0.39,-0.93,0.11,9478,Standing
221,0.39,-0.92,0.11,9518,Standing
222,0.38,-0.92,0.11,9559,Standing
223,0.39,-0.92,0.11,9600,Standing
224,0.39,-0.93,0.1,9641,Standing
225,0.39,-0.92,0.1,9682,Standing
226,0.39,-0.93,0.1,9722,Standing
227,0.39,-0.93,0.1,9763,Standing
228,0.39,-0.93,0.1,9804,Standing
229,0.4,-0.93,0.1,9845,Standing
230,0.39,-0.92,0.1,9886,Standing
231,0.38,-0.91,0.1,9926,Standing
232,0.39,-0.93,0.1,9967,Standing
233,0.39,-0.92,0.11,10007,Standing
234,0.38,-0.91,0.11,10048,Standing
235,0.38,-0.91,0.09,10088,Standing
236,0.38,-0.92,0.09,10129,Standing
237,0.37,-0.91,0.11,10170,Standing
238,0.39,-0.93,0.11,10211,Standing
239,0.38,-0.92,0.1,10252,Standing
240,0.38,-0.91,0.09,10293,Standing
241,0.39,-0.92,0.1,10333,Standing
242,0.38,-0.91,0.09,10373,Standing
243,0.37,-0.92,0.1,10414,Standing
244,0.38,-0.92,0.11,10455,Standing
245,0.38,-0.92,0.11,10496,Standing
246,0.39,-0.92,0.11,10536,Standing
247,0.38,-0.91,0.11,10577,Standing
248,0.39,-0.91,0.1,10618,Standing
249,0.39,-0.92,0.11,10659,Standing
250,0.38,-0.93,0.09,10700,Standing
251,0.39,-0.93,0.09,10741,Standing
252,0.38,-0.93,0.1,10782,Standing
253,0.37,-0.92,0.11,10823,Standing
254,0.38,-0.93,0.09,10864,Standing
255,0.38,-0.93,0.09,10905,Standing
256,0.39,-0.92,0.09,10946,Standing
257,0.39,-0.93,0.09,10987,Standing
258,0.39,-0.91,0.1,11028,Standing
259,0.39,-0.92,0.1,11069,Standing
260,0.38,-0.91,0.1,11110,Standing
261,0.38,-0.91,0.1,11151,Standing
262,0.4,-0.92,0.1,11192,Standing
263,0.4,-0.92,0.1,11233,Standing
264,0.38,-0.91,0.11,11274,Standing
265,0.39,-0.92,0.1,11315,Standing
266,0.39,-0.91,0.1,11356,Standing
267,0.38,-0.91,0.11,11397,Standing
268,0.39,-0.91,0.1,11438,Standing
269,0.39,-0.93,0.11,11479,Standing
270,0.37,-0.92,0.1,11520,Standing
271,0.37,-0.91,0.1,11560,Standing
272,0.38,-0.91,0.1,11601,Standing
273,0.37,-0.93,0.1,11642,Standing
274,0.39,-0.92,0.1,11683,Standing
275,0.39,-0.92,0.09,11724,Standing
276,0.39,-0.92,0.11,11765,Standing
277,0.39,-0.92,0.1,11806,Standing
278,0.39,-0.92,0.11,11847,Standing
279,0.39,-0.92,0.11,11888,Standing
280,0.39,-0.92,0.09,11929,Standing
281,0.4,-0.93,0.1,11970,Standing
282,0.39,-0.93,0.1,12011,Standing
283,0.39,-0.91,0.1,12052,Standing
284,0.38,-0.92,0.1,12093,Standing
285,0.4,-0.91,0.1,12134,Standing
